,N,Type,Loss,method,metric,type_dens
35,100,lapl_gauss_KL_div_adapative_dantzig,0.813711554066,A.D,KL,lapl_gauss
36,100,lapl_gauss_KL_div_adapative_dantzig,0.754102624656,A.D,KL,lapl_gauss
37,100,lapl_gauss_KL_div_adapative_dantzig,0.601209707589,A.D,KL,lapl_gauss
38,100,lapl_gauss_KL_div_adapative_dantzig,0.733786250087,A.D,KL,lapl_gauss
39,100,lapl_gauss_KL_div_adapative_dantzig,0.815503695022,A.D,KL,lapl_gauss
40,100,lapl_gauss_KL_div_adapative_dantzig,0.733786250087,A.D,KL,lapl_gauss
41,100,lapl_gauss_KL_div_adapative_dantzig,0.932073746926,A.D,KL,lapl_gauss
42,100,lapl_gauss_KL_div_adapative_dantzig,0.897044355351,A.D,KL,lapl_gauss
43,100,lapl_gauss_KL_div_adapative_dantzig,0.88427181468,A.D,KL,lapl_gauss
44,100,lapl_gauss_KL_div_adapative_dantzig,0.932073746926,A.D,KL,lapl_gauss
45,100,lapl_gauss_KL_div_adapative_dantzig,0.817844508495,A.D,KL,lapl_gauss
46,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
47,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
48,100,lapl_gauss_KL_div_adapative_dantzig,0.850039716746,A.D,KL,lapl_gauss
49,100,lapl_gauss_KL_div_adapative_dantzig,0.957983497671,A.D,KL,lapl_gauss
50,100,lapl_gauss_KL_div_adapative_dantzig,0.75494603831,A.D,KL,lapl_gauss
51,100,lapl_gauss_KL_div_adapative_dantzig,0.813711554066,A.D,KL,lapl_gauss
52,100,lapl_gauss_KL_div_adapative_dantzig,0.613039097399,A.D,KL,lapl_gauss
53,100,lapl_gauss_KL_div_adapative_dantzig,0.88427181468,A.D,KL,lapl_gauss
54,100,lapl_gauss_KL_div_adapative_dantzig,0.957983497671,A.D,KL,lapl_gauss
55,100,lapl_gauss_KL_div_adapative_dantzig,1.01751697004,A.D,KL,lapl_gauss
56,100,lapl_gauss_KL_div_adapative_dantzig,0.613039097399,A.D,KL,lapl_gauss
57,100,lapl_gauss_KL_div_adapative_dantzig,0.932073746926,A.D,KL,lapl_gauss
58,100,lapl_gauss_KL_div_adapative_dantzig,0.764949770229,A.D,KL,lapl_gauss
59,100,lapl_gauss_KL_div_adapative_dantzig,0.799469404832,A.D,KL,lapl_gauss
60,100,lapl_gauss_KL_div_adapative_dantzig,0.754102624656,A.D,KL,lapl_gauss
61,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
62,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
63,100,lapl_gauss_KL_div_adapative_dantzig,0.864511824475,A.D,KL,lapl_gauss
64,100,lapl_gauss_KL_div_adapative_dantzig,0.811449187114,A.D,KL,lapl_gauss
65,100,lapl_gauss_KL_div_adapative_dantzig,0.88427181468,A.D,KL,lapl_gauss
66,100,lapl_gauss_KL_div_adapative_dantzig,0.75494603831,A.D,KL,lapl_gauss
67,100,lapl_gauss_KL_div_adapative_dantzig,0.613039097399,A.D,KL,lapl_gauss
68,100,lapl_gauss_KL_div_adapative_dantzig,1.01751697004,A.D,KL,lapl_gauss
69,100,lapl_gauss_KL_div_adapative_dantzig,0.9092658525,A.D,KL,lapl_gauss
70,100,lapl_gauss_KL_div_adapative_dantzig,0.733786250087,A.D,KL,lapl_gauss
71,100,lapl_gauss_KL_div_adapative_dantzig,0.932073746926,A.D,KL,lapl_gauss
72,100,lapl_gauss_KL_div_adapative_dantzig,0.764949770229,A.D,KL,lapl_gauss
73,100,lapl_gauss_KL_div_adapative_dantzig,0.815503695022,A.D,KL,lapl_gauss
74,100,lapl_gauss_KL_div_adapative_dantzig,0.957983497671,A.D,KL,lapl_gauss
75,100,lapl_gauss_KL_div_adapative_dantzig,0.897044355351,A.D,KL,lapl_gauss
76,100,lapl_gauss_KL_div_adapative_dantzig,0.897044355351,A.D,KL,lapl_gauss
